GEO_ID,GEOID20,NAME,P4_001N,P4_002N,P4_003N,P4_004N,P4_005N,P4_006N,P4_007N,P4_008N,P4_009N,P4_010N,P4_011N,P4_012N,P4_013N,P4_014N,P4_015N,P4_016N,P4_017N,P4_018N,P4_019N,P4_020N,P4_021N,P4_022N,P4_023N,P4_024N,P4_025N,P4_026N,P4_027N,P4_028N,P4_029N,P4_030N,P4_031N,P4_032N,P4_033N,P4_034N,P4_035N,P4_036N,P4_037N,P4_038N,P4_039N,P4_040N,P4_041N,P4_042N,P4_043N,P4_044N,P4_045N,P4_046N,P4_047N,P4_048N,P4_049N,P4_050N,P4_051N,P4_052N,P4_053N,P4_054N,P4_055N,P4_056N,P4_057N,P4_058N,P4_059N,P4_060N,P4_061N,P4_062N,P4_063N,P4_064N,P4_065N,P4_066N,P4_067N,P4_068N,P4_069N,P4_070N,P4_071N,P4_072N,P4_073N,state,county,tract
1400000US35049001301,35049001301,"Census Tract 13.01, Santa Fe County, New Mexico",1174,556,618,586,511,18,36,16,0,5,32,27,1,14,3,0,5,0,0,0,0,0,0,0,4,0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,1301
1400000US35049001302,35049001302,"Census Tract 13.02, Santa Fe County, New Mexico",2195,1650,545,527,376,30,56,60,1,4,18,17,3,1,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,49,1302
1400000US35049001304,35049001304,"Census Tract 13.04, Santa Fe County, New Mexico",813,646,167,165,153,1,9,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,1304
1400000US35049001305,35049001305,"Census Tract 13.05, Santa Fe County, New Mexico",3770,2322,1448,1388,1101,53,80,127,0,27,60,55,12,14,11,0,16,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,1305
1400000US35049001306,35049001306,"Census Tract 13.06, Santa Fe County, New Mexico",1580,1176,404,376,311,13,21,24,0,7,28,24,0,9,8,0,4,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,1306
1400000US35049010102,35049010102,"Census Tract 101.02, Santa Fe County, New Mexico",3935,2974,961,928,831,11,52,14,2,18,33,33,0,15,10,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10102
1400000US35049010204,35049010204,"Census Tract 102.04, Santa Fe County, New Mexico",1912,255,1657,1603,1520,4,23,39,1,16,54,53,2,16,1,0,30,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10204
1400000US35049010205,35049010205,"Census Tract 102.05, Santa Fe County, New Mexico",1119,330,789,741,708,4,10,10,2,7,48,46,5,9,13,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10205
1400000US35049010304,35049010304,"Census Tract 103.04, Santa Fe County, New Mexico",3802,1703,2099,2045,1938,18,37,44,1,7,54,51,8,6,9,4,24,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10304
1400000US35049010308,35049010308,"Census Tract 103.08, Santa Fe County, New Mexico",1816,1141,675,622,583,11,17,8,3,0,53,49,6,23,3,3,13,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10308
1400000US35049010309,35049010309,"Census Tract 103.09, Santa Fe County, New Mexico",1700,297,1403,1318,1270,15,9,15,0,9,85,81,3,32,8,1,34,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,35,49,10309
1400000US35049010310,35049010310,"Census Tract 103.10, Santa Fe County, New Mexico",1054,235,819,791,752,6,13,10,0,10,28,26,2,17,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10310
1400000US35049010311,35049010311,"Census Tract 103.11, Santa Fe County, New Mexico",3576,738,2838,2689,2581,27,35,12,0,34,149,149,5,70,22,8,39,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10311
1400000US35049010312,35049010312,"Census Tract 103.12, Santa Fe County, New Mexico",3584,870,2714,2561,2446,21,49,16,4,25,153,152,20,74,16,0,41,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10312
1400000US35049010315,35049010315,"Census Tract 103.15, Santa Fe County, New Mexico",2299,828,1471,1413,1311,10,48,33,0,11,58,55,1,18,16,0,15,3,0,0,2,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10315
1400000US35049010316,35049010316,"Census Tract 103.16, Santa Fe County, New Mexico",1507,545,962,921,849,19,22,21,4,6,41,32,2,6,10,0,10,2,1,0,0,0,0,0,0,1,0,9,2,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10316
1400000US35049010317,35049010317,"Census Tract 103.17, Santa Fe County, New Mexico",920,340,580,562,480,9,11,35,2,25,18,15,2,7,2,2,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10317
1400000US35049010318,35049010318,"Census Tract 103.18, Santa Fe County, New Mexico",1425,713,712,667,564,11,20,65,0,7,45,43,3,21,1,2,13,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,10318
